REFERENCE 1;ARTICLE;CODE;DESIGNATION_2;CODE_SELECTION;QTE;DERNIER_PRIX_ACHAT;PRIX_REVIENT;Gros;PRIX_SOLDE;PRIX_MIN;REFERENCE 2;REFERENCE 3;REFERENCE 4;POIDS;CBM;CONDITIONNEMENT;QTE_STOCK_ALERTE;FOURNISSEUR;DATE_DERNIER_ACHAT;DATE_DERNIERE_VENTE;OK_BLOQUE_VENTE;NBRE_PHOTOS;Date créat. Article;Utilisateur;N°ARTICLE;N°LOT;
;TRANSAPORT HARBIN;00000002;                                        ;          ;0;0;0;700;0;650;;;;0.1;0.01;;0;;;;N;0;27/05/2022 12:27:29;ADMIN          ;2;2;
;GRAVI;00000005;                                        ;          ;0;0;0;2500;0;2400;;;;0.1;0.01;;0;;;;N;0;27/05/2022 12:32:57;ADMIN          ;5;5;
;RAMLA BANIAN;00000006;                                        ;          ;0;0;0;1200;0;1100;;;;0.1;0.01;;0;;;;N;0;27/05/2022 12:38:50;ADMIN          ;6;6;
;RAMLA FINITION;00000007;                                        ;          ;0;0;0;3200;0;3000;;;;0.1;0.01;;0;;;;N;0;27/05/2022 12:40:36;ADMIN          ;7;7;
;RDAM;00000008;                                        ;          ;0;0;0;2450;0;2400;;;;0.1;0.01;;0;;;;N;0;27/05/2022 12:42:42;ADMIN          ;8;8;
;ROND ABETON 12===9BAR;00000009;                                        ;          ;0;0;0;19400.4;0;18999.6;;;;0.1;0.01;;0;;;;N;0;27/05/2022 12:57:48;ADMIN          ;9;9;
;TRELLIS SOUDES 15*20;00000010;                                        ;          ;0;16200;16200;16300;0;16200;;;;0.1;0.01;;0;;10/08/2026;31/12/2026;N;0;27/05/2022 13:00:37;ADMIN          ;10;10;
;TREILLIS SOUDES 320ML15*20 F3.3;00000011;                                        ;          ;0;0;0;8800;0;8700;;;;0.1;0.01;;0;;;;N;0;27/05/2022 13:02:30;ADMIN          ;11;11;
;FIL DATTACHE KG;00000012;                                        ;          ;60;0;0;320;0;300;;;;0.1;0.01;;0;;12/08/2026;12/08/2026;N;0;27/05/2022 13:03:52;ADMIN          ;12;12;
;TUBE ROND NOIRE;00000013;                                        ;          ;0;0;0;4200;0;4000;;;;0.1;0.01;;0;;;;N;0;27/05/2022 13:06:16;ADMIN          ;13;13;
;TUBE CARRE;00000014;                                        ;          ;0;0;0;1600;0;1500;;;;0.1;0.01;;0;;;;N;0;27/05/2022 13:07:44;ADMIN          ;14;14;
;POUTRELLE;00000016;                                        ;          ;0;0;0;4200;0;4000;;;;0.1;0.01;;0;;;;N;0;28/05/2022 00:58:18;ADMIN          ;16;16;
;LA BRIQUE 30;00000017;                                        ;          ;0;0;0;60;0;55;;;;0.1;0.01;;0;;;;N;0;28/05/2022 00:59:55;ADMIN          ;17;17;
;LA BRIQUE 60;00000018;                                        ;          ;0;0;0;120;0;110;;;;0.1;0.01;;0;;;;N;0;28/05/2022 01:01:02;ADMIN          ;18;18;
;RETRO PAR HEURE;00000019;                                        ;          ;0;0;0;4350;0;4200;;;;0.1;0.01;;0;;;;N;0;28/05/2022 01:08:58;ADMIN          ;19;19;
;EAUX CETERNA;00000022;                                        ;          ;0;0;0;2500;0;2400;;;;0.1;0.01;;0;;;;N;0;16/09/2022 08:38:51;ADMIN          ;22;22;
;FERAIOUR;00000023;                                        ;          ;0;0;0;100000;0;100000;;;;0.1;0.01;;0;;;;N;0;16/09/2022 08:50:02;ADMIN          ;23;23;
;MACON MAIN DEVER;00000025;                                        ;          ;0;0;0;200;0;200;;;;0.1;0.01;;0;;;;N;0;16/09/2022 09:08:39;ADMIN          ;25;25;
;HADJRA CONSTROUI;00000026;                                        ;          ;0;0;0;11000;0;10500;;;;0.1;0.01;;0;;;;N;0;16/09/2022 09:31:47;ADMIN          ;26;26;
;MIT AVB ENCASTREE;00000028;                                        ;          ;0;0;0;25000;0;25000;;;;0.1;0.01;;0;;;;N;0;16/09/2022 11:28:02;ADMIN          ;28;28;
53227-3;DOUCHETT ENCASTREE GOLD;00000029;;          ;0;0;18500;21000;0;21000;;;;0.1;0.01;;0;;;;N;1;16/09/2022 11:28:35;ADMIN          ;29;29;
